J:Number	R	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	1* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	2* M	1* M Allele	1* M Allele	1* M Allele	2* M Allele	2* M Allele	2* M Allele
51173		Fasl											Fas													Fasl<gld>			Fas<lpr>		Fas<lpr-cg>
51176	R	Nfkb1	Nfkb2	Nfkbia	Nfkbib	Nfkbie																									
51177		Tcrg	Tcrd	Tcra									Tcrd-V6	B2m												
51181		Dok2																								
51183		Gh	Prop1																							
51184		Fas											Ifng	Il2	Il4	Il10	Il14									Fas<lpr>
51185		Il5																								
51190		Pgy3																								
51191		Il6											Ifng	Il4												
51197		Atp7a											Atp7b													
51198	R	Pou5f1																								
51199		Atox1	Ccsd	Cox17a-pending	Slc31a1	Slc31a2																				
51200		hr																								
51210		nodal	Shh	Acvr2a									Ebaf	iv	inv											
51222		Cbp1	Cola1	G0s2	Pdnp2	Rsdr1-pending																				
51228		Itgav	Itgb3	Itgb5									Csfgm													
51229		Hbb-ar											Hbb													
51234		Ntf3											Ntrk1	Ntrk2												
51236		Myog											Six1	Six2	Six3	Six4	Dmahp												
51238		Fsc1																											
51242		Usf1											Mt1																
51243		Npy																											
51247		Pirb											Hcph																Hcph<mc-v>
51253		Pomc											Mc2r																
51266		Insr											Irs1																
51267		Dab1											Reln	yot	Calb1	Aldo3										Dab<scm>			Reln<rl>
51268		Tjp1											Cldn1	Cldn5 	Cldn2	Ocln													
51269		Nat2											Nat1																
51270		Sftpa											Sftpb																
51271		Gcnf											Rara																
51272		Pax6																								Pax6<Sey>			
51273		wr																											
51274		Nos1	Nos2	 Nos3																									
51275		Kcnk3											Kcnk1	Kcnk2	Kcnk2	Kcnj3													
51276		Reln																											
51277		Grin2a											Grin2b																
51278		Clock											Per																
51279		MacS											Pkce																
51280		Htr1a											Htr1b																
51281		Cish2																											
51282		Apoe	Ednra										Edn1																
51282		Lep											Lepr													Lep<ob>			Lepr<db>
51284		Pdgfa	Pdgfra										Msx1	Msx2	Lef1														
51285		Eya1											Pax2																
51286		Ednrb											Edn3													Ednrb<s>	Ednrb<s-l		Edn3<ls>
51287		Wnt4											Sdf5	Sfrp3															
51288		Gpc3											Igf2	Igf2r	H19														
51290		Ccna1											Cdc2a	Cdk2															
51291		Fkh10											Krml	Hoxa1															
51291		Hoxd12											Hoxd13	Hoxd11															
51292		Ahch											Tdy	Ftzf1												
51292		Ahch											Tdy	Ftzf1												
51293		Rpe65	Rho										Rbp3													
51294		Pml											H2	Tap1	Tap2	Lmp2	Lmp7									
51295		Cry1	Cry2																							
51297		Pten											Akt													
51298		Ahch											Ftzf1													
51299		Neurod											Mash1													
51300		Cyp2b19																								
51301		Tyrp1											Tyr	Dct												Tyrp1<b>
51302		Cyba																								
51303		Ahnak																								
51304		Gata6											Apoa1	Apoa4	Apob	Hnf4	Tnf									
51306		Blm																								
51307		Hua	Hub																							
51308		Slfn1	Slfn2	Slfn3	Slfn4	Slfn5	Slfn6	Slfn7																		
51310		Evi1	Mds1																															
51311		Ccr6	Scya20																															
51312		Ccnt1																																
51312		Ccnt1																																
51313		Slc22a5																																
51314		Tnp1	Tnp2																															
51314		Tnp1	Tnp2																															
51315		Bcl2l10																																
51316		Scya17l																																
51317		Ccne2																																
51384		tsg101	tsg101-ps																															
51385		Elf5																																
51387		Fem1a	Fem1b																															
51390		Rad1																																
51391		Timeless	Per	Per2	Per3																													
51392		Timeless	Per	Per2	Per3					       																								
51393		Idh1												
51444		Csfgr	Csfg											
51449		Bdnf												
51455		ct	Wnt5a											
51463		Csrp2	Lmo4											
51465		Cga											Bcl2	
51466		Thrb												
51467		Estra												
51468		Estra												
51470		Hadh2												
51472		Tnf											Tnfb1	
51473		Sycp1-ps2											Cdh11	
51477		L1cam											Itgb1	Itgb3
51480		Prl												
