MGI:5933909	Tssr6142	MGI:2672844	Lgsn
MGI:5933910	Tssr6143	MGI:1921958	Pih1d3
MGI:5933911	Tssr6144	MGI:1921958	Pih1d3
MGI:5933913	Tssr6146	MGI:2159649	Khdrbs2
MGI:5933915	Tssr6148	MGI:1914753	1700001G17Rik
MGI:5933916	Tssr6149	MGI:1914753	1700001G17Rik
MGI:5933917	Tssr6150	MGI:99833	Rab23
MGI:5933918	Tssr6151	MGI:99833	Rab23
MGI:5933919	Tssr6152	MGI:99833	Rab23
MGI:5933923	Tssr6156	MGI:104627	Dst
MGI:5933924	Tssr6157	MGI:104627	Dst
MGI:5933925	Tssr6158	MGI:104627	Dst
MGI:5933926	Tssr6159	MGI:104627	Dst
MGI:5933928	Tssr6161	MGI:5610582	Gm37354
MGI:5933934	Tssr6167	MGI:104627	Dst
MGI:5933935	Tssr6168	MGI:104627	Dst
MGI:5933938	Tssr6171	MGI:104627	Dst
MGI:5933939	Tssr6172	MGI:104627	Dst
MGI:5933950	Tssr6183	MGI:104627	Dst
MGI:5933951	Tssr6184	MGI:104627	Dst
MGI:5933954	Tssr6187	MGI:104627	Dst
MGI:5933955	Tssr6188	MGI:104627	Dst
MGI:5933956	Tssr6189	MGI:104627	Dst
MGI:5933957	Tssr6190	MGI:104627	Dst
MGI:5933958	Tssr6191	MGI:104627	Dst
MGI:5933959	Tssr6192	MGI:104627	Dst
MGI:5933961	Tssr6194	MGI:104627	Dst
MGI:5933962	Tssr6195	MGI:104627	Dst
MGI:5933970	Tssr6203	MGI:104627	Dst
MGI:5933971	Tssr6204	MGI:104627	Dst
MGI:5933972	Tssr6205	MGI:104627	Dst
MGI:5933974	Tssr6207	MGI:3045265	D630036G22Rik
MGI:5933975	Tssr6208	MGI:3045265	D630036G22Rik
MGI:5933976	Tssr6209	MGI:3045265	D630036G22Rik
MGI:5933977	Tssr6210	MGI:3045265	D630036G22Rik
MGI:5933979	Tssr6212	MGI:104627	Dst
MGI:5933980	Tssr6213	MGI:104627	Dst
MGI:5933982	Tssr6215	MGI:106572	Imp4
MGI:5933985	Tssr6218	MGI:1196435	D1Ertd448e
MGI:5933986	Tssr6219	MGI:108410	Ptpn18
MGI:5933987	Tssr6220	MGI:108410	Ptpn18
MGI:5933988	Tssr6221	MGI:108410	Ptpn18
MGI:5933989	Tssr6222	MGI:108410	Ptpn18
MGI:5933990	Tssr6223	MGI:108410	Ptpn18
MGI:5933993	Tssr6226	MGI:1270856	Prss39
MGI:5933994	Tssr6227	MGI:109448	Cfc1
MGI:5933995	Tssr6228	MGI:3026939	Amer3
MGI:5933996	Tssr6229	MGI:3026939	Amer3
MGI:5934000	Tssr6233	MGI:2442507	Arhgef4
MGI:5934001	Tssr6234	MGI:2442507	Arhgef4
MGI:5934002	Tssr6235	MGI:2385825	Plekhb2
MGI:5934003	Tssr6236	MGI:2385825	Plekhb2
MGI:5934004	Tssr6237	MGI:2385825	Plekhb2
MGI:5934005	Tssr6238	MGI:2385825	Plekhb2
MGI:5934006	Tssr6239	MGI:2385825	Plekhb2
MGI:5934011	Tssr6244	MGI:1354958	Hs6st1
MGI:5934012	Tssr6245	MGI:1354958	Hs6st1
MGI:5934014	Tssr6247	MGI:1354958	Hs6st1
MGI:5934015	Tssr6248	MGI:5592439	Gm33280
MGI:5934020	Tssr6253	MGI:2443039	Arid5a
MGI:5934021	Tssr6254	MGI:2443039	Arid5a
MGI:5934022	Tssr6255	MGI:2443039	Arid5a
MGI:5934023	Tssr6256	MGI:2443039	Arid5a
MGI:5934024	Tssr6257	MGI:2443039	Arid5a
MGI:5934025	Tssr6258	MGI:2443039	Arid5a
MGI:5934026	Tssr6259	MGI:1921057	4930403P22Rik
MGI:5934027	Tssr6260	MGI:1921057	4930403P22Rik
MGI:5934028	Tssr6261	MGI:3616091	Fer1l5
MGI:5934029	Tssr6262	MGI:3616091	Fer1l5
MGI:5934030	Tssr6263	MGI:3616091	Fer1l5
MGI:5934031	Tssr6264	MGI:3616091	Fer1l5
MGI:5934034	Tssr6267	MGI:2151060	Cnnm4
MGI:5934037	Tssr6270	MGI:2151060	Cnnm4
MGI:5934038	Tssr6271	MGI:2151055	Cnnm3
MGI:5934039	Tssr6272	MGI:88475	Cox5b
MGI:5934041	Tssr6274	MGI:1918416	4933424G06Rik
MGI:5934042	Tssr6275	MGI:99613	Zap70
MGI:5934043	Tssr6276	MGI:99613	Zap70
MGI:5934044	Tssr6277	MGI:99613	Zap70
MGI:5934045	Tssr6278	MGI:99613	Zap70
MGI:5934046	Tssr6279	MGI:99613	Zap70
MGI:5934047	Tssr6280	MGI:99613	Zap70
MGI:5934048	Tssr6281	MGI:99613	Zap70
MGI:5934049	Tssr6282	MGI:99613	Zap70
MGI:5934051	Tssr6284	MGI:99613	Zap70
MGI:5934052	Tssr6285	MGI:99613	Zap70
MGI:5934053	Tssr6286	MGI:99613	Zap70
MGI:5934054	Tssr6287	MGI:99613	Zap70
MGI:5934062	Tssr6295	MGI:1918103	Vwa3b
MGI:5934063	Tssr6296	MGI:1918103	Vwa3b
MGI:5934064	Tssr6297	MGI:1918103	Vwa3b
MGI:5934065	Tssr6298	MGI:1918103	Vwa3b
MGI:5934066	Tssr6299	MGI:1918103	Vwa3b
MGI:5934067	Tssr6300	MGI:1918103	Vwa3b
MGI:5934068	Tssr6301	MGI:1918103	Vwa3b
MGI:5934069	Tssr6302	MGI:1341818	Cnga3
MGI:5934072	Tssr6305	MGI:1931123	Inpp4a
MGI:5934073	Tssr6306	MGI:1931123	Inpp4a
MGI:5934076	Tssr6309	MGI:1931123	Inpp4a
MGI:5934077	Tssr6310	MGI:1914637	Unc50
MGI:5934090	Tssr6323	MGI:3645211	Lipt1
MGI:5934091	Tssr6324	MGI:3645211	Lipt1
MGI:5934093	Tssr6326	MGI:1333820	Mrpl30
MGI:5934095	Tssr6328	MGI:2441772	Eif5b
